date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:19	65544/65544	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202019%2006:07:18%20GMT	https://gaetanlefebvre.fr/	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/index.html	(from )
11:37:19	62/62	---M--	200	added ('OK')	text/plain	date:Wed,%2027%20Mar%202019%2010:24:05%20GMT	https://gaetanlefebvre.fr/robots.txt		(from )
11:37:19	24742/24742	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202019%2014:11:17%20GMT	https://gaetanlefebvre.fr/graph/facebook.png	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/graph/facebook.png	(from https://gaetanlefebvre.fr/)
11:37:20	10843/10843	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202019%2014:11:17%20GMT	https://gaetanlefebvre.fr/graph/twitter.png	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/graph/twitter.png	(from https://gaetanlefebvre.fr/)
11:37:21	1088/1088	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/favicon/apple-touch-icon.png	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/favicon/apple-touch-icon.png	(from https://gaetanlefebvre.fr/)
11:37:22	666/666	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/favicon/favicon-32x32.png	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/favicon/favicon-32x32.png	(from https://gaetanlefebvre.fr/)
11:37:23	468/468	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/favicon/favicon-16x16.png	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/favicon/favicon-16x16.png	(from https://gaetanlefebvre.fr/)
11:37:24	426/426	---M--	200	added ('OK')	text/html	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/favicon/site.webmanifest	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/favicon/site.html	(from https://gaetanlefebvre.fr/)
11:37:25	983/983	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/favicon/safari-pinned-tab.svg	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/favicon/safari-pinned-tab.svg	(from https://gaetanlefebvre.fr/)
11:37:26	2479/2479	---M--	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202019%2014:11:07%20GMT	https://gaetanlefebvre.fr/_nuxt/03984dce2ac81c16dc66.js	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/03984dce2ac81c16dc66.js	(from https://gaetanlefebvre.fr/)
11:37:28	149708/149708	---M--	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202019%2014:11:07%20GMT	https://gaetanlefebvre.fr/_nuxt/dfe60d5b0968c002a20e.js	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/dfe60d5b0968c002a20e.js	(from https://gaetanlefebvre.fr/)
11:37:29	48582/48582	---M--	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202019%2014:11:07%20GMT	https://gaetanlefebvre.fr/_nuxt/1bf7687dd81a6800b09a.js	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/1bf7687dd81a6800b09a.js	(from https://gaetanlefebvre.fr/)
11:37:30	3824/3824	---M--	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202019%2014:11:07%20GMT	https://gaetanlefebvre.fr/_nuxt/46e856808e632b059a27.js	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/46e856808e632b059a27.js	(from https://gaetanlefebvre.fr/)
11:37:31	214326/214326	---M--	200	added ('OK')	application/javascript	date:Sun,%2007%20Apr%202019%2014:11:07%20GMT	https://gaetanlefebvre.fr/_nuxt/8cf144cbeca6950c9267.js	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/8cf144cbeca6950c9267.js	(from https://gaetanlefebvre.fr/)
11:37:32	51264/51264	---M--	200	added ('OK')	font/truetype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/b22b90a.ttf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/b22b90a.ttf	(from https://gaetanlefebvre.fr/)
11:37:33	52576/52576	---M--	200	added ('OK')	font/truetype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/1654ff9.ttf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/1654ff9.ttf	(from https://gaetanlefebvre.fr/)
11:37:34	50924/50924	---M--	200	added ('OK')	font/truetype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/1904ccf.ttf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/1904ccf.ttf	(from https://gaetanlefebvre.fr/)
11:37:35	74368/74368	---M--	200	added ('OK')	font/opentype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/6baed2b.otf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/6baed2b.otf	(from https://gaetanlefebvre.fr/)
11:37:36	68940/68940	---M--	200	added ('OK')	font/opentype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/6365c40.otf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/6365c40.otf	(from https://gaetanlefebvre.fr/)
11:37:37	156468/156468	---M--	200	added ('OK')	font/opentype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/7a2d9d3.otf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/7a2d9d3.otf	(from https://gaetanlefebvre.fr/)
11:37:38	156080/156080	---M--	200	added ('OK')	font/opentype	date:Sun,%2007%20Apr%202019%2014:11:16%20GMT	https://gaetanlefebvre.fr/_nuxt/fonts/e3d875a.otf	/Users/darshanbalar/websites/profile/gaetanlefebvre.fr/_nuxt/fonts/e3d875a.otf	(from https://gaetanlefebvre.fr/)
